小鸟id	名字多语言	图标	描述多语言	技能多语言	天赋多语言	品质(1普通 2稀有 3史诗 4传说)	颜色(1红色， 2黄色，3蓝色，4绿色)	actor名	默认是body	actorBodyId	部件: 眼镜	部件: 帽子	部件: 嘴巴	部件: 翅膀	部件: 尾巴	部件: 特效	触发天赋行为（0=没有天赋，1战斗，2转换，3采集，4巡逻）	产生币的概率(0-10000)	产生的buff币id（0=不产生）	采集系数	采集CD	攻击力	攻击CD	果币转换率	果币转换CD	飞行速度	采集消耗多少层	采集系数成长	采集CD成长	攻击力成长	攻击CD成长	果币转换率成长	果币转换CD成长	飞行速度成长	对某个颜色方块加成(颜色id:加成百分比0-100) #分割
id	name	icon	content	skill	talent	quality	color	actorName	actorBody	actorBodyId	glassesId	hatId	beakId	wingId	tailId	effectId	action	chance	coinId	collectValue	collectCD	attack	attackCD	convert	convertCD	flySpeed	collectLayer	collectValueGrow	collectCDGrow	attackGrow	attackCDGrow	convertGrow	convertCDGrow	flySpeedGrow	extraColorCollect
910101	birdname_910101	set:bird_icon.json image:body_20101	1	skillcontent_1	passivecontent_710101	1	1	g1041_bird.actor	body	20101	@@@	@@@	1	201	1	@@@	3#4	2000	1057	0.8	4	4	2	32	4	200	1	0.8	0	1	0	40	0	0	1:0#2:0#3:0#4:0
910102	birdname_910102	set:bird_icon.json image:body_20102	2	0	passivecontent_710102	1	1	g1041_bird.actor	body	20102	@@@	@@@	1	201	1	@@@	0	0	0	0.8	4	4.8	2	32	4	200	1	0.8	0	1	0	40	0	0	1:0#2:0#3:0#4:0
910103	birdname_910103	set:bird_icon.json image:body_20103	3	0	passivecontent_710103	1	1	g1041_bird.actor	body	20103	@@@	@@@	1	201	1	@@@	0	0	0	0.8	4	4	2	32	4	200	1	0.8	0	1	0	40	0	0	1:20#2:0#3:0#4:0
930101	birdname_930101	set:bird_icon.json image:body_10101	4	skillcontent_1	passivecontent_730101	1	3	g1041_bird.actor	body	10101	@@@	@@@	1	101	1	@@@	3#4	2000	1057	0.64	3.33	4	2	32	4	220	1	0.64	0	1	0	40	0	0	1:0#2:0#3:0#4:0
930102	birdname_930102	set:bird_icon.json image:body_10102	5	0	passivecontent_730102	1	3	g1041_bird.actor	body	10102	@@@	@@@	1	101	1	@@@	0	0	0	0.64	3.33	4	2	32	4	260	1	0.64	0	1	0	40	0	0	1:0#2:0#3:0#4:0
930103	birdname_930103	set:bird_icon.json image:body_10103	6	0	passivecontent_730103	1	3	g1041_bird.actor	body	10103	@@@	@@@	1	101	1	@@@	0	0	0	0.64	3.33	4	2	32	4	220	1	0.64	0	1	0	40	0	0	1:0#2:20#3:0#4:0
940101	birdname_940101	set:bird_icon.json image:body_40101	7	skillcontent_1	passivecontent_740101	1	4	g1041_bird.actor	body	40101	@@@	@@@	1	401	1	@@@	3#4	2000	1058	0.8	4	3.2	2	31.97	3.33	200	1	0.8	0	1	0	39.96	0	0	1:0#2:0#3:0#4:0
940102	birdname_940102	set:bird_icon.json image:body_40102	8	0	passivecontent_740102	1	4	g1041_bird.actor	body	40102	@@@	@@@	1	401	1	@@@	0	0	0	0.8	4	3.2	2	38.36	3.33	200	1	0.8	0	1	0	47.95	0	0	1:0#2:0#3:0#4:0
940103	birdname_940103	set:bird_icon.json image:body_40103	9	0	passivecontent_740103	1	4	g1041_bird.actor	body	40103	@@@	@@@	1	401	1	@@@	0	0	0	0.8	4	3.2	2	31.97	3.33	200	1	0.8	0	1	0	39.96	0	0	1:0#2:0#3:20#4:0
920101	birdname_920101	set:bird_icon.json image:body_30101	10	skillcontent_1	passivecontent_720101	1	2	g1041_bird.actor	body	30101	@@@	@@@	1	301	1	@@@	3#4	2000	1058	0.96	4.44	4	2	32	4	200	1	0.96	0	1	0	40	0	0	1:0#2:0#3:0#4:0
920102	birdname_920102	set:bird_icon.json image:body_30102	11	0	passivecontent_720102	1	2	g1041_bird.actor	body	30102	@@@	@@@	1	301	1	@@@	0	0	0	1.12	4.44	4	2	32	4	200	2	1.12	0	1	0	40	0	0	1:0#2:0#3:0#4:0
920103	birdname_920103	set:bird_icon.json image:body_30103	12	0	passivecontent_720103	1	2	g1041_bird.actor	body	30103	@@@	@@@	1	301	1	@@@	0	0	0	0.96	4.44	4	2	32	4	200	1	0.96	0	1	0	40	0	0	1:0#2:0#3:0#4:20
910201	birdname_910201	set:bird_icon.json image:body_20201	13	skillcontent_4	passivecontent_710201	2	1	g1041_bird.actor	body	20201	@@@	@@@	2	202	202	@@@	3	2667	1069	1	4	6	2	76.8	4	240	1	1	0	1.5	0	96	0	0	1:0#2:0#3:0#4:0
910202	birdname_910202	set:bird_icon.json image:body_20202	14	skillcontent_1	passivecontent_710202	2	1	g1041_bird.actor	body	20202	@@@	@@@	2	202	202	@@@	3#4	2000	1058	1	4	7.21	1.82	64	4	200	1	1	0	1.5	0	80	0	0	1:0#2:0#3:0#4:0
910203	birdname_910203	set:bird_icon.json image:body_20203	15	0	passivecontent_710203	2	1	g1041_bird.actor	body	20203	@@@	@@@	2	202	202	@@@	0	0	0	1.2	4	6	2	64	4	200	2	1.2	0	1.5	0	80	0	0	1:30#2:0#3:0#4:0
930201	birdname_930201	set:bird_icon.json image:body_10201	16	skillcontent_3	passivecontent_730201	2	3	g1041_bird.actor	body	10201	@@@	@@@	2	102	102	@@@	3	2667	1068	1	3.08	6	2	64	4	220	1	1	0	1.5	0	80	0	0	1:0#2:0#3:0#4:0
930202	birdname_930202	set:bird_icon.json image:body_10202	17	skillcontent_1	passivecontent_730202	2	3	g1041_bird.actor	body	10202	@@@	@@@	2	102	102	@@@	1#3#4	1000	1059	0.8	3.33	6.01	1.67	64	4	260	1	0.8	0	1.5	0	80	0	0	1:0#2:0#3:0#4:0
930203	birdname_930203	set:bird_icon.json image:body_10203	18	0	passivecontent_730203	2	3	g1041_bird.actor	body	10203	@@@	@@@	2	102	102	@@@	0	0	0	0.8	2.67	6	2	64	4	220	1	0.8	0	1.5	0	80	0	0	1:0#2:30#3:0#4:0
940201	birdname_940201	set:bird_icon.json image:body_40201	19	skillcontent_6	passivecontent_740201	2	4	g1041_bird.actor	body	40201	@@@	@@@	2	402	402	@@@	3	2667	1071	1.1	4	6.01	1.67	63.94	3.33	240	2	1.1	0	1.5	0	79.92	0	0	1:0#2:0#3:0#4:0
940202	birdname_940202	set:bird_icon.json image:body_40202	20	skillcontent_1	passivecontent_740202	2	4	g1041_bird.actor	body	40202	@@@	@@@	2	402	402	@@@	3#4	2000	1059	1.3	4	6	2	76.72	3.33	200	2	1.3	0	1.5	0	95.9	0	0	1:0#2:0#3:0#4:0
940203	birdname_940203	set:bird_icon.json image:body_40203	21	0	passivecontent_740203	2	4	g1041_bird.actor	body	40203	@@@	@@@	2	402	402	@@@	0	0	0	1.1	3.33	6	2	63.94	3.33	200	2	1.1	0	1.5	0	79.92	0	0	1:0#2:0#3:30#4:0
920201	birdname_920201	set:bird_icon.json image:body_30201	22	skillcontent_5	passivecontent_720201	2	2	g1041_bird.actor	body	30201	@@@	@@@	2	302	302	@@@	3	2667	1070	0.8	2.67	6	2	64	4	200	1	0.8	0	1.5	0	80	0	0	1:0#2:0#3:0#4:0
920202	birdname_920202	set:bird_icon.json image:body_30202	23	skillcontent_8	passivecontent_720202	2	2	g1041_bird.actor	body	30202	@@@	@@@	2	302	302	@@@	3#4	2000	1083	1.2	4	6	2	76.8	4	200	2	1.2	0	1.5	0	96	0	0	1:0#2:0#3:0#4:0
920203	birdname_920203	set:bird_icon.json image:body_30203	24	0	passivecontent_720203	2	2	g1041_bird.actor	body	30203	@@@	@@@	2	302	302	@@@	0	0	0	1	4	7.2	2	64	4	240	1	1	0	1.5	0	80	0	0	1:0#2:0#3:0#4:30
910301	birdname_910301	set:bird_icon.json image:body_20301	25	skillcontent_4	passivecontent_710301	3	1	g1041_bird.actor	body	20301	@@@	@@@	3	203	203	@@@	3	2667	1069	1.6	4	8.02	1.67	192	4	200	2	1.6	0	2	0	240	0	0	1:0#2:0#3:0#4:0
910302	birdname_910302	set:bird_icon.json image:body_20302	26	skillcontent_7	passivecontent_710302	3	1	g1041_bird.actor	body	20302	@@@	@@@	3	203	203	@@@	1	1000	1077	1.6	4	16.02	2.86	128	4	160	2	1.6	0	2	0	160	0	0	1:0#2:0#3:0#4:0
910303	birdname_910303	set:bird_icon.json image:body_20303	27	0	passivecontent_710303	3	1	g1041_bird.actor	body	20303	@@@	@@@	3	203	203	@@@	0	0	0	2.24	5	8	2	128	4	200	3	2.24	0	2	0	160	0	0	1:40#2:0#3:0#4:0
930301	birdname_930301	set:bird_icon.json image:body_10301	28	skillcontent_3	passivecontent_730301	3	3	g1041_bird.actor	body	10301	@@@	@@@	3	103	103	@@@	3	2667	1068	1.28	2.67	6.4	2	127.87	3.33	240	2	1.28	0	2	0	159.84	0	0	1:0#2:0#3:0#4:0
930302	birdname_930302	set:bird_icon.json image:body_10302	29	skillcontent_8	passivecontent_730302	3	3	g1041_bird.actor	body	10302	@@@	@@@	3	103	103	@@@	1#3#4	1000	1083	1.28	3.64	6.41	1.82	102.5	3.64	340	2	1.28	0	2	0	128.13	0	0	1:0#2:0#3:0#4:0
930303	birdname_930303	set:bird_icon.json image:body_10303	30	0	passivecontent_730303	3	3	g1041_bird.actor	body	10303	@@@	@@@	3	103	103	@@@	0	0	0	1.92	3.64	5.61	1.67	102.4	4	240	2	1.92	0	2	0	128	0	0	1:0#2:40#3:0#4:0
940301	birdname_940301	set:bird_icon.json image:body_40301	31	skillcontent_6	passivecontent_740301	3	4	g1041_bird.actor	body	40301	@@@	@@@	3	403	403	@@@	3	2667	1071	1.92	4	8	2	153.6	4	240	2	1.92	0	2	0	192	0	0	1:0#2:0#3:0#4:0
