水果田id	起始坐标x	起始坐标y	起始坐标z	结束坐标x	结束坐标y	结束坐标z	怪物id(#分割)	"怪物巢穴坐标(1,2,3#1,2,3)"	产生的coinId	概率（0-10000）		注释	注释
id	x1	y1	z1	x2	y2	z2	monsterIds	monsterPos	fruitId	chance		注释	注释
101	-630	10	-251	-614	12	-220	@@@	@@@	1085	100		蒲公英	芒果
102	-643	10	-207	-615	12	-192	@@@	@@@	1085	100		向日葵	香蕉
103	-652	10	-233	-635	12	-210	4001	"-648,11,-221"	1090#1085	500#100		蘑菇	西瓜
104	-652	10	-288	-639	12	-256	4002	"-652,11,-265"	1088#1085	500#100		蓝色花	葡萄
105	-638	16	-286	-614	18	-264	4003	"-634,17,-283#-619,17,-268"	1087#1085	500#100		四叶草	奇异果
206	-672	13	-213	-656	15	-196	4004	"-666,14,-197#-672,14,-210"	1085	100		草莓	草莓
207	-672	13	-244	-655	15	-222	4005	"-671,14,-233"	1085	100		蜘蛛花	柠檬
208	-672	13	-287	-664	15	-250	4006	"-672,14,-261#-672,14,-277"	1086#1085	500#100		竹子	蓝莓
309	-702	22	-306	-686	24	-284	4007	"-693,23,-285#-702,23,-294"	1089#1085	500#100		菠萝	桃子
410	-685	22	-221	-673	24	-192	@@@	@@@	1085	100		仙人掌	橙子
411	-700	22	-221	-687	24	-192	@@@	@@@	1085	100		南瓜	木瓜
412	-702	22	-186	-674	24	-174	4008	"-684,23,-178#-698,23,-179"	1085	100		树	哈密瓜
413	-648	13	-191	-630	15	-170	4009	"-635,14,-176#-645,14,-187"	1085	100		玫瑰花	西红柿
514	-699	41	-266	-682	43	-247	@@@	@@@	1085	100		山顶	注释
1	-593	10	-243	-558	24	-205	@@@	@@@	1091#1085	500#100		vip	注释
