索引	id	类型	动植物Id	数量	颜色	任务描述		注释		注释
index	contentId	type	Id	num	color	desc		注释		任务中文说明
1	20008001	2	101	4	@@@	@@@		芒果田中采集4个水果		1、需要打败XX动物XX个
2	20008002	21	@@@	4	@@@	@@@		采集4个水果		2、需要采集XX颜色的XX植物XX个
3	20008003	22	@@@	1	2	@@@		采集黄色1个水果		3、和XX NPC对话
4	20008004	6	2	2	@@@	@@@		有等级为2的2个小鸟		4、完成xxnpc的xx个任务
5	20008005	7	1041001	1	@@@	@@@		给小鸟喂食饼干1个		5、拥有xx只小鸟的携带位
6	20008006	9	@@@	1	@@@	@@@		得到1个宝箱		6、拥有xx等级xx只小鸟（背包位）
7	20008007	10	9000001	233	@@@	@@@		得到果币（绿钞）累计为233		7、喂食xx道具xx个
8	20008008	8	9000002	1	@@@	@@@		收集抽蛋票1个		8、收集xx道具(天赋币)xx个
9	20008009	8	9000001	10000	@@@	@@@		收集果币（绿钞）10000个		9、摸xx次宝箱
10	20008010	8	1041003	1	@@@	@@@		收集香蕉1个		10、摸宝箱累计摸出xx物品xx值
11	20008011	5	@@@	6	@@@	@@@		可以携带6个小鸟		11、融合xx次
12	20009012	3	20003	1	@@@	@@@		去采集田NPCname那里看看吧		12、融合出xx颜色xx品质xx只小鸟
13	20009013	4	20003	1	@@@	@@@		完成采集田NPCname发布的1个任务		注释
14	20001014	5	101	233	@@@	@@@		芒果田中采集233个水果		注释
15	20001015	6	102	233	@@@	@@@		香蕉田中采集233个水果		注释
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
